pass,task,thr,n,n_gt,n_emit,emit_per_gt,time_p,time_r,time_f1,content_acc,joint_f1,content_acc_lb,joint_f1_lb,n_unjudged,xrt_mean,reliable
p1,instant_event_alert,0.95,15,16,14,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.636,True
p1,realtime_state_monitor,0.05,15,73,374,5.1233,0.1684,0.863,0.2819,0.0794,0.0224,0.0794,0.0224,0,2.542,True
p1,realtime_state_monitor,0.15,15,73,364,4.9863,0.1731,0.863,0.2883,0.0317,0.0092,0.0317,0.0092,0,2.181,True
p1,realtime_state_monitor,0.25,15,73,364,4.9863,0.1621,0.8082,0.27,0.0678,0.0183,0.0678,0.0183,0,2.259,True
p1,realtime_state_monitor,0.35,15,73,355,4.863,0.169,0.8219,0.2804,0.0167,0.0047,0.0167,0.0047,0,2.129,True
p1,realtime_state_monitor,0.45,15,73,345,4.726,0.1855,0.8767,0.3062,0.0312,0.0096,0.0312,0.0096,0,2.148,True
p1,realtime_state_monitor,0.55,15,73,310,4.2466,0.1774,0.7534,0.2872,0.0182,0.0052,0.0182,0.0052,0,2.004,True
p1,realtime_state_monitor,0.65,15,73,292,4.0,0.1678,0.6712,0.2685,0.0408,0.011,0.0408,0.011,0,1.878,True
p1,realtime_state_monitor,0.75,15,73,233,3.1918,0.1459,0.4658,0.2222,0.0,0.0,0.0,0.0,0,1.828,True
p1,realtime_state_monitor,0.85,15,73,138,1.8904,0.1522,0.2877,0.1991,0.0,0.0,0.0,0.0,0,1.555,True
p1,realtime_state_monitor,0.95,15,73,15,0.2055,0.2667,0.0548,0.0909,0.0,0.0,0.0,0.0,0,1.57,True
p1,semantic_condition_alert,0.01,15,47,258,5.4894,0.093,0.5106,0.1574,1.0,0.1574,1.0,0.1574,0,2.641,True
p1,semantic_condition_alert,0.02,15,47,257,5.4681,0.1089,0.5957,0.1842,1.0,0.1842,1.0,0.1842,0,2.611,True
p1,semantic_condition_alert,0.05,15,47,257,5.4681,0.1089,0.5957,0.1842,1.0,0.1842,1.0,0.1842,0,2.327,True
p1,semantic_condition_alert,0.15,15,47,248,5.2766,0.129,0.6809,0.2169,1.0,0.2169,1.0,0.2169,0,2.259,True
p1,semantic_condition_alert,0.25,15,47,245,5.2128,0.1184,0.617,0.1986,1.0,0.1986,1.0,0.1986,0,2.51,True
p1,semantic_condition_alert,0.35,15,47,231,4.9149,0.0952,0.4681,0.1583,1.0,0.1583,1.0,0.1583,0,2.681,True
p1,semantic_condition_alert,0.45,15,47,225,4.7872,0.1111,0.5319,0.1838,1.0,0.1838,1.0,0.1838,0,2.172,True
p1,semantic_condition_alert,0.55,15,47,208,4.4255,0.1106,0.4894,0.1804,1.0,0.1804,1.0,0.1804,0,2.106,True
p1,semantic_condition_alert,0.65,15,47,201,4.2766,0.1045,0.4468,0.1694,1.0,0.1694,1.0,0.1694,0,2.104,True
p1,semantic_condition_alert,0.75,15,47,192,4.0851,0.1042,0.4255,0.1674,1.0,0.1674,1.0,0.1674,0,1.931,True
p1,semantic_condition_alert,0.85,15,47,117,2.4894,0.1282,0.3191,0.1829,1.0,0.1829,1.0,0.1829,0,1.75,True
p1,semantic_condition_alert,0.95,15,47,47,1.0,0.1702,0.1702,0.1702,1.0,0.1702,1.0,0.1702,0,1.495,True
p1,sequential_step_instruction,0.01,15,93,369,3.9677,0.2141,0.8495,0.342,,,0.0,0.0,79,2.856,True
p1,sequential_step_instruction,0.02,15,93,368,3.957,0.2174,0.8602,0.3471,,,0.0,0.0,80,3.007,True
p1,sequential_step_instruction,0.05,15,93,364,3.914,0.206,0.8065,0.3282,,,0.0,0.0,75,2.818,True
p1,sequential_step_instruction,0.15,15,93,350,3.7634,0.2286,0.8602,0.3612,,,0.0,0.0,80,2.657,True
p1,sequential_step_instruction,0.25,15,93,334,3.5914,0.1946,0.6989,0.3044,,,0.0,0.0,65,2.399,True
p1,sequential_step_instruction,0.35,15,93,317,3.4086,0.2082,0.7097,0.322,,,0.0,0.0,66,2.233,True
p1,sequential_step_instruction,0.45,15,93,302,3.2473,0.2119,0.6882,0.3241,,,0.0,0.0,64,2.127,True
p1,sequential_step_instruction,0.55,15,93,275,2.957,0.2,0.5914,0.2989,,,0.0,0.0,55,2.092,True
p1,sequential_step_instruction,0.65,15,93,260,2.7957,0.2154,0.6022,0.3173,,,0.0,0.0,56,1.978,True
p1,sequential_step_instruction,0.75,15,93,166,1.7849,0.1988,0.3548,0.2548,,,0.0,0.0,33,1.749,True
p1,sequential_step_instruction,0.85,15,93,115,1.2366,0.1913,0.2366,0.2115,,,0.0,0.0,22,1.627,True
p1,sequential_step_instruction,0.95,15,93,14,0.1505,0.2857,0.043,0.0748,,,0.0,0.0,4,1.466,True
p1,snapshot_counting,0.05,15,15,15,1.0,0.1333,0.1333,0.1333,0.0,0.0,0.0,0.0,0,2.544,True
p1,snapshot_counting,0.15,15,15,15,1.0,0.1333,0.1333,0.1333,0.0,0.0,0.0,0.0,0,2.224,True
p1,snapshot_counting,0.25,15,15,15,1.0,0.1333,0.1333,0.1333,0.5,0.0667,0.5,0.0667,0,3.389,True
p1,snapshot_counting,0.35,15,15,15,1.0,0.0667,0.0667,0.0667,0.0,0.0,0.0,0.0,0,3.25,True
p1,snapshot_counting,0.45,15,15,15,1.0,0.1333,0.1333,0.1333,0.0,0.0,0.0,0.0,0,1.99,True
p1,snapshot_counting,0.55,15,15,15,1.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0,1.844,True
p1,snapshot_counting,0.65,15,15,15,1.0,0.1333,0.1333,0.1333,0.0,0.0,0.0,0.0,0,1.715,True
p1,snapshot_counting,0.75,15,15,15,1.0,0.1333,0.1333,0.1333,0.0,0.0,0.0,0.0,0,1.628,True
p1,snapshot_counting,0.85,15,15,15,1.0,0.1333,0.1333,0.1333,0.0,0.0,0.0,0.0,0,1.516,True
p1,snapshot_counting,0.95,15,15,14,0.9333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.478,True
