pass,task,thr,n,n_gt,n_emit,emit_per_gt,time_p,time_r,time_f1,content_acc,joint_f1,content_acc_lb,joint_f1_lb,n_unjudged,xrt_mean,reliable
p1,cumulative_counting,0.05,15,71,64,0.9014,0.2344,0.2113,0.2222,0.3333,0.0741,0.3333,0.0741,0,3.439,True
p1,cumulative_counting,0.15,15,71,181,2.5493,0.1657,0.4225,0.2381,0.1667,0.0397,0.1667,0.0397,0,2.468,True
p1,cumulative_counting,0.25,15,71,184,2.5915,0.1467,0.3803,0.2118,0.1111,0.0235,0.1111,0.0235,0,2.28,True
p1,cumulative_counting,0.35,15,71,221,3.1127,0.1448,0.4507,0.2192,0.0938,0.0205,0.0938,0.0205,0,3.037,True
p1,cumulative_counting,0.45,15,71,226,3.1831,0.146,0.4648,0.2222,0.303,0.0673,0.303,0.0673,0,3.432,True
p1,cumulative_counting,0.55,15,71,207,2.9155,0.1353,0.3944,0.2014,0.2143,0.0432,0.2143,0.0432,0,2.076,True
p1,cumulative_counting,0.65,15,71,163,2.2958,0.1472,0.338,0.2051,0.1667,0.0342,0.1667,0.0342,0,2.007,True
p1,cumulative_counting,0.75,15,71,130,1.831,0.1615,0.2958,0.209,0.2857,0.0597,0.2857,0.0597,0,1.757,True
p1,cumulative_counting,0.85,15,71,71,1.0,0.2394,0.2394,0.2394,0.3529,0.0845,0.3529,0.0845,0,1.634,True
p1,cumulative_counting,0.95,15,71,15,0.2113,0.1333,0.0282,0.0465,0.5,0.0233,0.5,0.0233,0,1.875,True
p1,dedup_counting,0.05,15,74,49,0.6622,0.0816,0.0541,0.065,0.25,0.0163,0.25,0.0163,0,3.552,True
p1,dedup_counting,0.15,15,74,145,1.9595,0.1379,0.2703,0.1826,0.15,0.0274,0.15,0.0274,0,3.782,True
p1,dedup_counting,0.25,15,74,168,2.2703,0.1369,0.3108,0.1901,0.087,0.0165,0.087,0.0165,0,3.89,True
p1,dedup_counting,0.35,15,74,245,3.3108,0.1388,0.4595,0.2132,0.0294,0.0063,0.0294,0.0063,0,3.354,True
p1,dedup_counting,0.45,15,74,265,3.5811,0.1057,0.3784,0.1652,0.0357,0.0059,0.0357,0.0059,0,4.339,True
p1,dedup_counting,0.55,15,74,247,3.3378,0.1498,0.5,0.2305,0.027,0.0062,0.027,0.0062,0,3.029,True
p1,dedup_counting,0.65,15,74,316,4.2703,0.1076,0.4595,0.1744,0.2353,0.041,0.2353,0.041,0,3.022,True
p1,dedup_counting,0.75,15,74,309,4.1757,0.1068,0.4459,0.1723,0.0909,0.0157,0.0909,0.0157,0,2.282,True
p1,dedup_counting,0.85,15,74,154,2.0811,0.1169,0.2432,0.1579,0.1111,0.0175,0.1111,0.0175,0,1.837,True
p1,dedup_counting,0.95,15,74,14,0.1892,0.1429,0.027,0.0455,0.0,0.0,0.0,0.0,0,1.62,True
p1,event_narration,0.05,15,64,485,7.5781,0.1093,0.8281,0.1931,,,0.0,0.0,53,3.65,True
p1,event_narration,0.15,15,64,480,7.5,0.1146,0.8594,0.2022,,,0.0,0.0,55,3.721,True
p1,event_narration,0.25,15,64,476,7.4375,0.1092,0.8125,0.1926,,,0.0,0.0,52,3.929,True
p1,event_narration,0.35,15,64,444,6.9375,0.1081,0.75,0.189,,,0.0,0.0,48,3.382,True
p1,event_narration,0.45,15,64,454,7.0938,0.1079,0.7656,0.1892,,,0.0,0.0,49,3.337,True
p1,event_narration,0.55,15,64,413,6.4531,0.1114,0.7188,0.1929,,,0.0,0.0,46,3.123,True
p1,event_narration,0.65,15,64,376,5.875,0.1197,0.7031,0.2045,,,0.0,0.0,45,2.89,True
p1,event_narration,0.75,15,64,339,5.2969,0.1032,0.5469,0.1737,,,0.0,0.0,35,2.545,True
p1,event_narration,0.85,15,64,203,3.1719,0.0788,0.25,0.1199,,,0.0,0.0,16,2.033,True
p1,event_narration,0.95,15,64,11,0.1719,0.1818,0.0312,0.0533,,,0.0,0.0,2,1.669,True
p1,explicit_target_grounding,0.05,15,16,15,0.9375,0.0667,0.0625,0.0645,0.0,0.0,0.0,0.0,0,2.039,True
p1,explicit_target_grounding,0.15,15,16,17,1.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.124,True
p1,explicit_target_grounding,0.25,15,16,17,1.0625,0.0588,0.0625,0.0606,0.0,0.0,0.0,0.0,0,1.684,True
p1,explicit_target_grounding,0.35,15,16,18,1.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.976,True
p1,explicit_target_grounding,0.45,15,16,18,1.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.162,True
p1,explicit_target_grounding,0.55,15,16,17,1.0625,0.0588,0.0625,0.0606,0.0,0.0,0.0,0.0,0,1.478,True
p1,explicit_target_grounding,0.65,15,16,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.574,True
p1,explicit_target_grounding,0.75,15,16,16,1.0,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0,0,1.462,True
p1,explicit_target_grounding,0.85,15,16,14,0.875,0.0714,0.0625,0.0667,0.0,0.0,0.0,0.0,0,1.398,True
p1,explicit_target_grounding,0.95,15,16,8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.367,True
p1,instant_event_alert,0.05,15,16,15,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.44,True
p1,instant_event_alert,0.15,15,16,15,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.165,True
p1,instant_event_alert,0.25,15,16,15,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.757,True
p1,instant_event_alert,0.35,15,16,15,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.69,True
p1,instant_event_alert,0.45,15,16,15,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.148,True
p1,instant_event_alert,0.55,15,16,15,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.167,True
p1,instant_event_alert,0.65,15,16,15,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.495,True
p1,instant_event_alert,0.75,15,16,15,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.46,True
p1,instant_event_alert,0.85,15,16,15,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.647,True
