id,task,audio_dependency,duration,n_gt,n_emits,tp_time,tp_content,fp,fn,time_f1,joint_f1,verdict
instant_event_alert::WkuUUdW0B4o::49,instant_event_alert,helpful,163.4,1,0,0,0,0,1,0.0,0.0,SILENT
instant_event_alert::WAx6cCcrnPg::50,instant_event_alert,required,138.138138,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::G9MnreGqhuI::51,instant_event_alert,required,111.277833,1,2,0,0,2,1,0.0,0.0,WRONG_TIME
instant_event_alert::2cSIAapg7rU::52,instant_event_alert,required,259.88,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::EsZG07lW9KU::53,instant_event_alert,required,210.543667,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::EEA-VJS7JIQ::54,instant_event_alert,required,139.84,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::PsFHyVssjAc::55,instant_event_alert,required,196.972131,1,0,0,0,0,1,0.0,0.0,SILENT
instant_event_alert::B8RZB05u95U::56,instant_event_alert,required,256.466667,3,0,0,0,0,3,0.0,0.0,SILENT
instant_event_alert::AI86J_4Jtnk::57,instant_event_alert,required,122.96,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::1SwvQVV5fug::58,instant_event_alert,helpful,363.321292,1,2,0,0,2,1,0.0,0.0,WRONG_TIME
instant_event_alert::U9ZHW6fAv04::59,instant_event_alert,required,197.530667,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::IpMKC3Gi39I::60,instant_event_alert,required,263.296367,1,2,1,1,1,0,0.667,0.667,GOOD
instant_event_alert::LFelGo9gA_I::61,instant_event_alert,helpful,105.939273,2,2,1,1,1,1,0.5,0.5,GOOD
instant_event_alert::3J8zCIPhqAM::62,instant_event_alert,required,350.44,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::FUrva9V_-cs::63,instant_event_alert,required,261.995067,1,2,1,1,1,0,0.667,0.667,GOOD
instant_event_alert::2dK4fe2HRX4::64,instant_event_alert,required,125.200018,1,2,1,1,1,0,0.667,0.667,GOOD
